district,state,sim1,sim2,sim3,sim4,sim5
karimnagar,telangana,gurdaspur (punjab),virudhunagar (tamil nadu),namakkal (tamil nadu),ganjam (odisha),nellore (andhra pradesh)
khammam,telangana,pratapgarh (rajasthan),lalitpur (uttar pradesh),seraikela-kharsawan (jharkhand),central delhi (delhi),koraput (odisha)
komaram bheem,telangana,yadadri. (telangana),jogulamba gadwal (telangana),warangal rural (telangana),jayashankar bhupalpally (telangana),palnadu (andhra pradesh)
mahabubabad,telangana,jangoan (telangana),suryapet (telangana),narayanpet (telangana),kallakurichi (tamil nadu),wanaparthy (telangana)
mahabubnagar,telangana,mayurbhanj (odisha),kancheepuram (tamil nadu),tiruvallur (tamil nadu),nandurbar (maharashtra),thrissur (kerala)
mancherial,telangana,suryapet (telangana),hanumakonda (telangana),jangoan (telangana),kakinada (andhra pradesh),warangal rural (telangana)
medak,telangana,ratlam (madhya pradesh),hingoli (maharashtra),rajgarh (madhya pradesh),panchmahals (gujarat),baleswar (odisha)
medchal malkajgiri,telangana,east singhbum (jharkhand),ahmednagar (maharashtra),gaurella pendra marwahi (chhattisgarh),medinipur west (west bengal),ranga reddy (telangana)
medchal-malkajgiri,telangana,raigad (maharashtra),jogulamba gadwal (telangana),wanaparthy (telangana),vikarabad (telangana),suryapet (telangana)
medchal?malkajgiri,telangana,dibang valley (arunachal pradesh),upper siang (arunachal pradesh),meluri (nagaland),anjaw (arunachal pradesh),kurung kumey (arunachal pradesh)
medchal−malkajgiri,telangana,mayiladuthurai (tamil nadu),chittaurgarh (rajasthan),west nimar (madhya pradesh),kasargod (kerala),narmadapuram (madhya pradesh)
mulugu,telangana,wanaparthy (telangana),purulia (west bengal),mahabubabad (telangana),kallakurichi (tamil nadu),narayanpet (telangana)
nagarkurnool,telangana,bardhaman (west bengal),paschim bardhaman (west bengal),west midnapore (west bengal),sangareddy (telangana),bhadradri kothagudem (telangana)
nalgonda,telangana,thanjavur (tamil nadu),palakkad (kerala),thiruvananthapuram (kerala),haridwar (uttarakhand),erode (tamil nadu)
narayanpet,telangana,jogulamba gadwal (telangana),mahabubabad (telangana),wanaparthy (telangana),kallakurichi (tamil nadu),jangoan (telangana)
nirmal,telangana,kakinada (andhra pradesh),palnadu (andhra pradesh),nandyal (andhra pradesh),warangal rural (telangana),siddipet (telangana)
nizamabad,telangana,tiruvannamalai (tamil nadu),balaghat (madhya pradesh),sidhi (madhya pradesh),seoni (madhya pradesh),junagadh (gujarat)
peddapalli,telangana,warangal urban (telangana),rajanna sircilla (telangana),nagarkurnool (telangana),jagitial (telangana),kamareddy (telangana)
rajanna sircilla,telangana,charkhi dadri (haryana),jagitial (telangana),peddapalli (telangana),kamareddy (telangana),bangalore rural (karnataka)
ranga reddy,telangana,sivasagar (assam),medchal malkajgiri (telangana),nabarangpur (odisha),ahmednagar (maharashtra),24 paraganas south (west bengal)
rangareddy,telangana,sakti (chhattisgarh),bapatla (andhra pradesh),warangal urban (telangana),mulugu (telangana),mancherial (telangana)
sangareddy,telangana,bhadradri kothagudem (telangana),west midnapore (west bengal),bardhaman (west bengal),nagarkurnool (telangana),gurgaon (haryana)
siddipet,telangana,suryapet (telangana),hanumakonda (telangana),nirmal (telangana),jangoan (telangana),mahabubabad (telangana)
suryapet,telangana,siddipet (telangana),mancherial (telangana),mahabubabad (telangana),jangoan (telangana),hanumakonda (telangana)
vikarabad,telangana,south salmara mankachar (assam),jogulamba gadwal (telangana),chengalpattu (tamil nadu),yadadri. (telangana),jayashankar bhupalpally (telangana)
wanaparthy,telangana,narayanpet (telangana),mahabubabad (telangana),mulugu (telangana),jogulamba gadwal (telangana),raigad (maharashtra)
warangal,telangana,adilabad (telangana),ariyalur (tamil nadu),dhenkanal (odisha),theni (tamil nadu),sas nagar (mohali) (punjab)
warangal (urban),telangana,bajali (assam),namchi (sikkim),hooghiy (west bengal),jaintia hills (meghalaya),dharashiv (maharashtra)
warangal rural,telangana,palnadu (andhra pradesh),kakinada (andhra pradesh),bapatla (andhra pradesh),nandyal (andhra pradesh),nirmal (telangana)
warangal urban,telangana,dr. b. r. ambedkar konaseema (andhra pradesh),eluru (andhra pradesh),anakapalli (andhra pradesh),hanumakonda (telangana),peddapalli (telangana)
yadadri.,telangana,jogulamba gadwal (telangana),komaram bheem (telangana),nirmal (telangana),annamayya (andhra pradesh),y. s. r (andhra pradesh)
dhalai,tripura,south tripura (tripura),pashchimi singhbhum (jharkhand),narayanpur (chhattisgarh),khunti (jharkhand),latehar (jharkhand)
dhalai ,tripura,nicobar (andaman and nicobar islands),karim nagar (andhra pradesh),k.v. rangareddy (andhra pradesh),andamans (andaman and nicobar islands),mammit (mizoram)
gomati,tripura,mahbubnagar (andhra pradesh),unakoti (tripura),khowai (tripura),north tripura (tripura),the nilgiris (tamil nadu)
khowai,tripura,purnea (bihar),gomati (tripura),unakoti (tripura),mahbubnagar (andhra pradesh),west kameng (arunachal pradesh)
north tripura,tripura,simdega (jharkhand),koriya (chhattisgarh),pathanamthitta (kerala),the nilgiris (tamil nadu),north east (delhi)
sepahijala,tripura,reasi (jammu and kashmir),ramban (jammu and kashmir),sukma (chhattisgarh),mahabub nagar (andhra pradesh),lohardaga (jharkhand)
south tripura,tripura,latehar (jharkhand),jashpur (chhattisgarh),dhalai (tripura),simdega (jharkhand),auraiya (uttar pradesh)
unakoti,tripura,mahbubnagar (andhra pradesh),gomati (tripura),khowai (tripura),shupiyan (jammu and kashmir),north tripura (tripura)
west tripura,tripura,simdega (jharkhand),koriya (chhattisgarh),pathanamthitta (kerala),surajpur (chhattisgarh),alappuzha (kerala)
agra,uttar pradesh,sitapur (uttar pradesh),aligarh (uttar pradesh),meerut (uttar pradesh),lucknow (uttar pradesh),shahjahanpur (uttar pradesh)
aligarh,uttar pradesh,sitapur (uttar pradesh),lucknow (uttar pradesh),shahjahanpur (uttar pradesh),agra (uttar pradesh),unnao (uttar pradesh)
allahabad,uttar pradesh,pratapgarh (uttar pradesh),sambhal (uttar pradesh),muzaffarnagar (uttar pradesh),rae bareli (uttar pradesh),madhepura (bihar)
ambedkar nagar,uttar pradesh,kannauj (uttar pradesh),basti (uttar pradesh),madhepura (bihar),dumka (jharkhand),chandauli (uttar pradesh)
amethi,uttar pradesh,sambhal (uttar pradesh),jalaun (uttar pradesh),kasganj (uttar pradesh),faizabad (uttar pradesh),chitrakoot (uttar pradesh)
amroha,uttar pradesh,shamli (uttar pradesh),jhalawar (rajasthan),kachchh (gujarat),sawai madhopur (rajasthan),pali (rajasthan)
auraiya,uttar pradesh,hamirpur (uttar pradesh),sonbhadra (uttar pradesh),bokaro (jharkhand),godda (jharkhand),jaisalmer (rajasthan)
ayodhya,uttar pradesh,sri potti sriramulu nellore (andhra pradesh),purulia (west bengal),mulugu (telangana),chhatrapati sambhajinagar (maharashtra),maldah (west bengal)
azamgarh,uttar pradesh,gopalganj (bihar),gorakhpur (uttar pradesh),jaunpur (uttar pradesh),siddharthnagar (uttar pradesh),balrampur (uttar pradesh)
baghpat,uttar pradesh,kanpur dehat (uttar pradesh),khagaria (bihar),chatra (jharkhand),deoghar (jharkhand),sheopur (madhya pradesh)
bagpat,uttar pradesh,raebareli (uttar pradesh),leparada (arunachal pradesh),meluri (nagaland),sheikpura (bihar),kamle (arunachal pradesh)
bahraich,uttar pradesh,varanasi (uttar pradesh),kanpur nagar (uttar pradesh),kheri (uttar pradesh),sitamarhi (bihar),muzaffarpur (bihar)
ballia,uttar pradesh,ghazipur (uttar pradesh),kaimur (bhabua) (bihar),deoria (uttar pradesh),mirzapur (uttar pradesh),sant kabir nagar (uttar pradesh)
balrampur,uttar pradesh,siddharthnagar (uttar pradesh),gopalganj (bihar),azamgarh (uttar pradesh),siwan (bihar),gorakhpur (uttar pradesh)
banda,uttar pradesh,sultanpur (uttar pradesh),saharsa (bihar),basti (uttar pradesh),jamui (bihar),chandauli (uttar pradesh)
bara banki,uttar pradesh,jhansi (uttar pradesh),west singhbhum (jharkhand),dhanbad (jharkhand),muzaffarnagar (uttar pradesh),bokaro (jharkhand)
barabanki,uttar pradesh,south west khasi hills (meghalaya),alipurduar (west bengal),new delhi (delhi),ahmadabad (gujarat),east jaintia hills (meghalaya)
bareilly,uttar pradesh,purnia (bihar),meerut (uttar pradesh),alwar (rajasthan),bharatpur (rajasthan),chhatarpur (madhya pradesh)
basti,uttar pradesh,ambedkar nagar (uttar pradesh),mathura (uttar pradesh),chandauli (uttar pradesh),sultanpur (uttar pradesh),banda (uttar pradesh)
bhadohi,uttar pradesh,sri potti sriramulu nellore (andhra pradesh),bishnupur (manipur),kakching (manipur),pakaur (jharkhand),maldah (west bengal)
bijnor,uttar pradesh,k.v. rangareddy (telangana),ajmer (rajasthan),barddhaman (west bengal),kancheepuram (tamil nadu),vadodara (gujarat)
budaun,uttar pradesh,gautam buddha nagar (uttar pradesh),west champaran (bihar),ghaziabad (uttar pradesh),prayagraj (uttar pradesh),darjeeling (west bengal)
bulandshahar,uttar pradesh,kalimpong (west bengal),monghyr (bihar),jyotiba phule nagar (uttar pradesh),hugli (west bengal),purba champaran (bihar)
bulandshahr,uttar pradesh,fatehpur (uttar pradesh),udaipur (rajasthan),samastipur (bihar),supaul (bihar),gonda (uttar pradesh)
chandauli,uttar pradesh,basti (uttar pradesh),ambedkar nagar (uttar pradesh),banda (uttar pradesh),sultanpur (uttar pradesh),mathura (uttar pradesh)
chitrakoot,uttar pradesh,chatra (jharkhand),kasganj (uttar pradesh),amethi (uttar pradesh),sahebganj (jharkhand),jalaun (uttar pradesh)
deoria,uttar pradesh,mirzapur (uttar pradesh),basti (uttar pradesh),ambedkar nagar (uttar pradesh),madhepura (bihar),chandauli (uttar pradesh)
etah,uttar pradesh,dahod (gujarat),churu (rajasthan),bharatpur (rajasthan),jalor (rajasthan),hapur (uttar pradesh)
etawah,uttar pradesh,hathras (uttar pradesh),gumla (jharkhand),kaushambi (uttar pradesh),sahebganj (jharkhand),faizabad (uttar pradesh)
faizabad,uttar pradesh,kaushambi (uttar pradesh),hathras (uttar pradesh),godda (jharkhand),etawah (uttar pradesh),sambhal (uttar pradesh)
farrukhabad,uttar pradesh,dumka (jharkhand),jalaun (uttar pradesh),sant kabir nagar (uttar pradesh),mirzapur (uttar pradesh),kannauj (uttar pradesh)
fatehpur,uttar pradesh,banka (bihar),supaul (bihar),bikaner (rajasthan),bulandshahr (uttar pradesh),mathura (uttar pradesh)
firozabad,uttar pradesh,kolkata (west bengal),rampur (uttar pradesh),giridih (jharkhand),ghaziabad (uttar pradesh),pakur (jharkhand)
gautam buddha nagar,uttar pradesh,budaun (uttar pradesh),west champaran (bihar),tinsukia (assam),jalpaiguri (west bengal),ghaziabad (uttar pradesh)
ghaziabad,uttar pradesh,firozabad (uttar pradesh),rampur (uttar pradesh),giridih (jharkhand),kolkata (west bengal),pakur (jharkhand)
ghazipur,uttar pradesh,ballia (uttar pradesh),jaunpur (uttar pradesh),kaimur (bhabua) (bihar),mau (uttar pradesh),rohtas (bihar)
gonda,uttar pradesh,mathura (uttar pradesh),saharsa (bihar),sultanpur (uttar pradesh),fatehpur (uttar pradesh),basti (uttar pradesh)
gorakhpur,uttar pradesh,siwan (bihar),varanasi (uttar pradesh),siddharthnagar (uttar pradesh),azamgarh (uttar pradesh),gopalganj (bihar)
hamirpur,uttar pradesh,auraiya (uttar pradesh),jaisalmer (rajasthan),godda (jharkhand),khunti (jharkhand),sonbhadra (uttar pradesh)
hapur,uttar pradesh,etah (uttar pradesh),dahod (gujarat),etawah (uttar pradesh),deoghar (jharkhand),churu (rajasthan)
hardoi,uttar pradesh,muzaffarpur (bihar),kanpur nagar (uttar pradesh),madhubani (bihar),unnao (uttar pradesh),kheri (uttar pradesh)
hathras,uttar pradesh,etawah (uttar pradesh),kaushambi (uttar pradesh),faizabad (uttar pradesh),gumla (jharkhand),sahebganj (jharkhand)
jalaun,uttar pradesh,farrukhabad (uttar pradesh),amethi (uttar pradesh),kasganj (uttar pradesh),dumka (jharkhand),chitrakoot (uttar pradesh)
jaunpur,uttar pradesh,ghazipur (uttar pradesh),azamgarh (uttar pradesh),gorakhpur (uttar pradesh),balrampur (uttar pradesh),siddharthnagar (uttar pradesh)
jhansi,uttar pradesh,west singhbhum (jharkhand),bara banki (uttar pradesh),hazaribagh (jharkhand),nabarangapur (odisha),shamli (uttar pradesh)
jyotiba phule nagar,uttar pradesh,hugli (west bengal),jangaon (telangana),monghyr (bihar),bulandshahar (uttar pradesh),north dinajpur (west bengal)
kannauj,uttar pradesh,ambedkar nagar (uttar pradesh),dumka (jharkhand),basti (uttar pradesh),farrukhabad (uttar pradesh),mirzapur (uttar pradesh)
kanpur dehat,uttar pradesh,khagaria (bihar),baghpat (uttar pradesh),kasganj (uttar pradesh),chatra (jharkhand),ambedkar nagar (uttar pradesh)
kanpur nagar,uttar pradesh,kheri (uttar pradesh),hardoi (uttar pradesh),muzaffarpur (bihar),madhubani (bihar),unnao (uttar pradesh)
kasganj,uttar pradesh,chitrakoot (uttar pradesh),chatra (jharkhand),kanpur dehat (uttar pradesh),khagaria (bihar),amethi (uttar pradesh)
kaushambi,uttar pradesh,faizabad (uttar pradesh),hathras (uttar pradesh),rae bareli (uttar pradesh),etawah (uttar pradesh),sambhal (uttar pradesh)
kheri,uttar pradesh,kanpur nagar (uttar pradesh),hardoi (uttar pradesh),muzaffarpur (bihar),madhubani (bihar),vaishali (bihar)
kushi nagar,uttar pradesh,ashoknagar (madhya pradesh),medinipur west (west bengal),coochbehar (west bengal),east singhbum (jharkhand),shravasti (uttar pradesh)
kushinagar,uttar pradesh,shrawasti (uttar pradesh),rohtas (bihar),munger (bihar),ballia (uttar pradesh),chandauli (uttar pradesh)
kushinagar ,uttar pradesh,saitual (mizoram),tirupathur (tamil nadu),east midnapur (west bengal),south east delhi (delhi),yanam (puducherry)
lalitpur,uttar pradesh,bundi (rajasthan),khammam (telangana),tonk (rajasthan),seraikela-kharsawan (jharkhand),central delhi (delhi)
lucknow,uttar pradesh,aligarh (uttar pradesh),sitapur (uttar pradesh),agra (uttar pradesh),madhubani (bihar),unnao (uttar pradesh)
maharajganj,uttar pradesh,gopalganj (bihar),siddharthnagar (uttar pradesh),balrampur (uttar pradesh),azamgarh (uttar pradesh),gorakhpur (uttar pradesh)
mahoba,uttar pradesh,ramgarh (jharkhand),latehar (jharkhand),pratapgarh (rajasthan),koderma (jharkhand),rajsamand (rajasthan)
mahrajganj,uttar pradesh,hawrah (west bengal),samstipur (bihar),sant ravidas nagar bhadohi (uttar pradesh),monghyr (bihar),sheikpura (bihar)
mainpuri,uttar pradesh,banda (uttar pradesh),sultanpur (uttar pradesh),siwan (bihar),saharsa (bihar),jhabua (madhya pradesh)
mathura,uttar pradesh,gonda (uttar pradesh),basti (uttar pradesh),sultanpur (uttar pradesh),saharsa (bihar),fatehpur (uttar pradesh)
mau,uttar pradesh,ghazipur (uttar pradesh),kaimur (bhabua) (bihar),rohtas (bihar),ballia (uttar pradesh),jaunpur (uttar pradesh)
meerut,uttar pradesh,agra (uttar pradesh),bharatpur (rajasthan),barwani (madhya pradesh),aligarh (uttar pradesh),lucknow (uttar pradesh)
mirzapur,uttar pradesh,sant kabir nagar (uttar pradesh),deoria (uttar pradesh),dumka (jharkhand),farrukhabad (uttar pradesh),ambedkar nagar (uttar pradesh)
moradabad,uttar pradesh,jodhpur (rajasthan),alwar (rajasthan),saharanpur (uttar pradesh),gwalior (madhya pradesh),ludhiana (punjab)
muzaffarnagar,uttar pradesh,dhanbad (jharkhand),rae bareli (uttar pradesh),dhule (maharashtra),begusarai (bihar),darbhanga (bihar)
pilibhit,uttar pradesh,araria (bihar),ranchi (jharkhand),barmer (rajasthan),nagaur (rajasthan),darbhanga (bihar)
pratapgarh,uttar pradesh,supaul (bihar),sambhal (uttar pradesh),rae bareli (uttar pradesh),kaushambi (uttar pradesh),faizabad (uttar pradesh)
prayagraj,uttar pradesh,haora (west bengal),darjeeling (west bengal),maldah (west bengal),pakur (jharkhand),budaun (uttar pradesh)
rae bareli,uttar pradesh,muzaffarnagar (uttar pradesh),kaushambi (uttar pradesh),pratapgarh (uttar pradesh),dhanbad (jharkhand),faizabad (uttar pradesh)
raebareli,uttar pradesh,bagpat (uttar pradesh),kamle (arunachal pradesh),anugal (odisha),sheikpura (bihar),leparada (arunachal pradesh)
rampur,uttar pradesh,firozabad (uttar pradesh),ghaziabad (uttar pradesh),giridih (jharkhand),kolkata (west bengal),pakur (jharkhand)
saharanpur,uttar pradesh,ludhiana (punjab),jodhpur (rajasthan),nagaur (rajasthan),dhar (madhya pradesh),nagaon (assam)
sambhal,uttar pradesh,amethi (uttar pradesh),pratapgarh (uttar pradesh),supaul (bihar),faizabad (uttar pradesh),kaushambi (uttar pradesh)
sant kabir nagar,uttar pradesh,mirzapur (uttar pradesh),dumka (jharkhand),farrukhabad (uttar pradesh),sant ravidas nagar (uttar pradesh),deoria (uttar pradesh)
sant ravidas nagar,uttar pradesh,sant kabir nagar (uttar pradesh),sheikhpura (bihar),mirzapur (uttar pradesh),dumka (jharkhand),farrukhabad (uttar pradesh)
sant ravidas nagar bhadohi,uttar pradesh,aurangabad(bh) (bihar),samstipur (bihar),purba champaran (bihar),bhabua (bihar),monghyr (bihar)
shahjahanpur,uttar pradesh,aligarh (uttar pradesh),unnao (uttar pradesh),sitapur (uttar pradesh),hardoi (uttar pradesh),agra (uttar pradesh)
shamli,uttar pradesh,amroha (uttar pradesh),nabarangapur (odisha),hazaribagh (jharkhand),sawai madhopur (rajasthan),pali (rajasthan)
shravasti,uttar pradesh,siddharth nagar (uttar pradesh),kushi nagar (uttar pradesh),coochbehar (west bengal),ashoknagar (madhya pradesh),purbi champaran (bihar)
shrawasti,uttar pradesh,munger (bihar),rohtas (bihar),kushinagar (uttar pradesh),aurangabad (bihar),sheikhpura (bihar)
siddharth nagar,uttar pradesh,shravasti (uttar pradesh),coochbehar (west bengal),kushi nagar (uttar pradesh),purbi champaran (bihar),ashoknagar (madhya pradesh)
siddharthnagar,uttar pradesh,balrampur (uttar pradesh),gopalganj (bihar),siwan (bihar),gorakhpur (uttar pradesh),azamgarh (uttar pradesh)
sitapur,uttar pradesh,aligarh (uttar pradesh),agra (uttar pradesh),lucknow (uttar pradesh),shahjahanpur (uttar pradesh),muzaffarpur (bihar)
sonbhadra,uttar pradesh,bokaro (jharkhand),auraiya (uttar pradesh),west singhbhum (jharkhand),godda (jharkhand),hamirpur (uttar pradesh)
sultanpur,uttar pradesh,saharsa (bihar),banda (uttar pradesh),jamui (bihar),basti (uttar pradesh),mathura (uttar pradesh)
unnao,uttar pradesh,hardoi (uttar pradesh),shahjahanpur (uttar pradesh),aligarh (uttar pradesh),madhubani (bihar),lucknow (uttar pradesh)
varanasi,uttar pradesh,gorakhpur (uttar pradesh),siwan (bihar),kheri (uttar pradesh),vaishali (bihar),kanpur nagar (uttar pradesh)
almora,uttarakhand,shimla (himachal pradesh),pithoragarh (uttarakhand),jharsuguda (odisha),north goa (goa),pauri garhwal (uttarakhand)
bageshwar,uttarakhand,champawat (uttarakhand),shaheed bhagat singh nagar (punjab),rudraprayag (uttarakhand),karaikal (puducherry),chamoli (uttarakhand)
chamoli,uttarakhand,pathankot (punjab),jharsuguda (odisha),solan (himachal pradesh),rudraprayag (uttarakhand),puducherry (puducherry)
champawat,uttarakhand,shaheed bhagat singh nagar (punjab),south goa (goa),bageshwar (uttarakhand),pithoragarh (uttarakhand),rudraprayag (uttarakhand)
dehradun,uttarakhand,kheda (gujarat),raisen (madhya pradesh),hingoli (maharashtra),amritsar (punjab),medak (telangana)
garhwal,uttarakhand,janjgir - champa (chhattisgarh),janjgir champa (chhattisgarh),yanam (puducherry),hardwar (uttarakhand),gadag  (karnataka)
hardwar,uttarakhand,palamau (jharkhand),north (sikkim),jhunjhunu (rajasthan),garhwal (uttarakhand),raigarh(mh) (maharashtra)
haridwar,uttarakhand,thiruvananthapuram (kerala),cuttack (odisha),palakkad (kerala),kollam (kerala),thanjavur (tamil nadu)
nainital,uttarakhand,bharuch (gujarat),anuppur (madhya pradesh),hoshiarpur (punjab),baramula (jammu and kashmir),tehri garhwal (uttarakhand)
pauri garhwal,uttarakhand,shimla (himachal pradesh),perambalur (tamil nadu),almora (uttarakhand),nayagarh (odisha),puducherry (puducherry)
pithoragarh,uttarakhand,north goa (goa),almora (uttarakhand),uttarkashi (uttarakhand),shaheed bhagat singh nagar (punjab),champawat (uttarakhand)
rudraprayag,uttarakhand,chamoli (uttarakhand),jharsuguda (odisha),pathankot (punjab),bageshwar (uttarakhand),pondicherry (puducherry)
tehri garhwal,uttarakhand,sambalpur (odisha),anuppur (madhya pradesh),angul (odisha),kandhamal (odisha),nayagarh (odisha)
udham singh nagar,uttarakhand,parbhani (maharashtra),raigarh (maharashtra),buldhana (maharashtra),prakasam (andhra pradesh),patiala (punjab)
uttarkashi,uttarakhand,dakshin bastar dantewada (chhattisgarh),the dangs (gujarat),pithoragarh (uttarakhand),debagarh (odisha),khordha (odisha)
24 paraganas north,west bengal,dinajpur uttar (west bengal),coochbehar (west bengal),ashoknagar (madhya pradesh),spsr nellore (andhra pradesh),east singhbum (jharkhand)
24 paraganas south,west bengal,shopian (jammu and kashmir),nabarangpur (odisha),s.a.s nagar (punjab),sivasagar (assam),dang (gujarat)
alipurduar,west bengal,south west khasi hills (meghalaya),golaghat (assam),south west garo hills (meghalaya),barabanki (uttar pradesh),pakur (jharkhand)
bankura,west bengal,faridabad (haryana),west delhi (delhi),paschim medinipur (west bengal),birbhum (west bengal),nadia (west bengal)
barddhaman,west bengal,k.v. rangareddy (telangana),vadodara (gujarat),rajkot (gujarat),ajmer (rajasthan),satna (madhya pradesh)
bardhaman,west bengal,west midnapore (west bengal),paschim bardhaman (west bengal),nagarkurnool (telangana),bhadradri kothagudem (telangana),sangareddy (telangana)
birbhum,west bengal,faridabad (haryana),bankura (west bengal),paschim medinipur (west bengal),nadia (west bengal),north 24 parganas (west bengal)
burdwan,west bengal,udupi  (karnataka),bokaro  (jharkhand),bijapur(kar) (karnataka),tiruvarur (tamil nadu),leh (ladakh) (jammu and kashmir)
cooch behar,west bengal,uttar dinajpur (west bengal),malda (west bengal),raigad (maharashtra),jalpaiguri (west bengal),medchal-malkajgiri (telangana)
coochbehar,west bengal,ashoknagar (madhya pradesh),24 paraganas north (west bengal),kushi nagar (uttar pradesh),dinajpur uttar (west bengal),siddharth nagar (uttar pradesh)
dakshin dinajpur,west bengal,gurgaon (haryana),sangareddy (telangana),purba bardhaman (west bengal),malda (west bengal),puruliya (west bengal)
darjeeling,west bengal,dhubri (assam),pakur (jharkhand),sonitpur (assam),rampur (uttar pradesh),marigaon (assam)
darjiling,west bengal,chengalpattu (tamil nadu),jayashankar bhupalpally (telangana),north dinajpur (west bengal),south salmara mankachar (assam),shahdara (delhi)
dinajpur dakshin,west bengal,gaurella pendra marwahi (chhattisgarh),s.a.s nagar (punjab),dang (gujarat),24 paraganas south (west bengal),nabarangpur (odisha)
dinajpur uttar,west bengal,24 paraganas north (west bengal),coochbehar (west bengal),bengaluru urban (karnataka),ashoknagar (madhya pradesh),spsr nellore (andhra pradesh)
east midnapore,west bengal,ramanagar (karnataka),harda (madhya pradesh),sonapur (odisha),malkangiri (odisha),dadra and nagar haveli (dadra and nagar haveli and daman and diu)
east midnapur,west bengal,tirupathur (tamil nadu),lahaul and spiti (himachal pradesh),rupnagar (chandigarh),kushinagar  (uttar pradesh),hnahthial (mizoram)
haora,west bengal,north delhi (delhi),maldah (west bengal),north twenty four parganas (west bengal),west midnapore (west bengal),south twenty four parganas (west bengal)
hawrah,west bengal,west medinipur (west bengal),anugal (odisha),mahrajganj (uttar pradesh),monghyr (bihar),bhabua (bihar)
hooghiy,west bengal,hnahthial (mizoram),jaintia hills (meghalaya),warangal (urban) (telangana),salumbar (rajasthan),mohalla-manpur-ambagarh chowki (chhattisgarh)
hooghly,west bengal,mumbai suburban (maharashtra),howrah (west bengal),bijnor (uttar pradesh),balrampur (chhattisgarh),south west delhi (delhi)
howrah,west bengal,mumbai suburban (maharashtra),hooghly (west bengal),dholpur (rajasthan),nagaon (assam),bhilwara (rajasthan)
hugli,west bengal,jyotiba phule nagar (uttar pradesh),jangaon (telangana),north dinajpur (west bengal),darjiling (west bengal),mauganj (madhya pradesh)
jalpaiguri,west bengal,cooch behar (west bengal),malda (west bengal),sri potti sriramulu nellore (andhra pradesh),uttar dinajpur (west bengal),gautam buddha nagar (uttar pradesh)
jhargram,west bengal,kallakurichi (tamil nadu),purba bardhaman (west bengal),mulugu (telangana),paschim bardhaman (west bengal),purulia (west bengal)
kalimpong,west bengal,bulandshahar (uttar pradesh),hugli (west bengal),darjiling (west bengal),chhatrapati sambhajinagar (maharashtra),jyotiba phule nagar (uttar pradesh)
koch bihar,west bengal,shahdara (delhi),south salmara mankachar (assam),vikarabad (telangana),tirupati (andhra pradesh),chengalpattu (tamil nadu)
kolkata,west bengal,giridih (jharkhand),firozabad (uttar pradesh),pakur (jharkhand),ghaziabad (uttar pradesh),banswara (rajasthan)
malda,west bengal,south 24 parganas (west bengal),puruliya (west bengal),dakshin dinajpur (west bengal),cooch behar (west bengal),gurgaon (haryana)
maldah,west bengal,west midnapore (west bengal),paschim bardhaman (west bengal),bardhaman (west bengal),haora (west bengal),nagarkurnool (telangana)
medinipur,west bengal,pandhurna (madhya pradesh),jangaon (telangana),ranipet (tamil nadu),mohalla-manpur-ambagarh chowki (chhattisgarh),jaintia hills (meghalaya)
medinipur west,west bengal,ahmednagar (maharashtra),medchal malkajgiri (telangana),kushi nagar (uttar pradesh),east singhbum (jharkhand),kamrup (meghalaya)
murshidabad,west bengal,south 24 parganas (west bengal),nadia (west bengal),paschim medinipur (west bengal),birbhum (west bengal),puruliya (west bengal)
nadia,west bengal,paschim medinipur (west bengal),faridabad (haryana),west delhi (delhi),puruliya (west bengal),east delhi (delhi)
north 24 parganas,west bengal,west delhi (delhi),faridabad (haryana),surat (gujarat),paschim medinipur (west bengal),birbhum (west bengal)
north dinajpur,west bengal,south dinajpur (west bengal),darjiling (west bengal),khairagarh chhuikhadan gandai (chhattisgarh),jayashankar bhupalpally (telangana),dharashiv (maharashtra)
north twenty four parganas,west bengal,haora (west bengal),south twenty four parganas (west bengal),charaideo (assam),west midnapore (west bengal),bhadradri kothagudem (telangana)
paschim bardhaman,west bengal,bardhaman (west bengal),nagarkurnool (telangana),west midnapore (west bengal),maldah (west bengal),sangareddy (telangana)
paschim medinipur,west bengal,nadia (west bengal),faridabad (haryana),west delhi (delhi),bankura (west bengal),birbhum (west bengal)
purba bardhaman,west bengal,dakshin dinajpur (west bengal),jhargram (west bengal),sangareddy (telangana),kallakurichi (tamil nadu),kamareddy (telangana)
purba medinipur,west bengal,ujjain (madhya pradesh),mandsaur (madhya pradesh),bhopal (madhya pradesh),jabalpur (madhya pradesh),belagavi (karnataka)
purulia,west bengal,mulugu (telangana),ayodhya (uttar pradesh),paschim bardhaman (west bengal),sri potti sriramulu nellore (andhra pradesh),jhargram (west bengal)
puruliya,west bengal,nadia (west bengal),south 24 parganas (west bengal),east delhi (delhi),malda (west bengal),paschim medinipur (west bengal)
south 24 pargana,west bengal,west medinipur (west bengal),hawrah (west bengal),bhabua (bihar),tamulpur district (assam),anugal (odisha)
south 24 parganas,west bengal,puruliya (west bengal),malda (west bengal),murshidabad (west bengal),nadia (west bengal),paschim medinipur (west bengal)
south dinajpur,west bengal,jayashankar bhupalpally (telangana),north dinajpur (west bengal),mauganj (madhya pradesh),darjiling (west bengal),narayanpet (telangana)
south twenty four parganas,west bengal,balrampur (chhattisgarh),north twenty four parganas (west bengal),haora (west bengal),darjeeling (west bengal),charaideo (assam)
